group_type,group_name,num_images,dino_layer,segformer_stage,cka_mean,ssm_mean
condition,night,1006,9,stage2,0.5442923009691845,0.6181625378416262
condition,night,1006,9,stage3,0.5797545690363491,0.6144036240357291
condition,night,1006,9,stage4,0.6054948934207617,0.6255761390296413
condition,night,1006,10,stage1,0.5910830290962166,0.6290027344854878
condition,night,1006,10,stage2,0.576872966931781,0.6756556297746852
condition,night,1006,10,stage3,0.5987506621104348,0.6571653698002605
condition,night,1006,10,stage4,0.6146176622710219,0.635880115314222
condition,night,1006,11,stage1,0.5645689094813159,0.6057429479261042
condition,night,1006,11,stage2,0.5738227855910364,0.6725747524270006
condition,night,1006,11,stage3,0.6068273476115752,0.6739303737464055
condition,night,1006,11,stage4,0.6095042898214124,0.6323775977903522
condition,night,1006,12,stage1,0.5700700297270334,0.6313069499806903
condition,night,1006,12,stage2,0.582733452794092,0.7259227448026419
condition,night,1006,12,stage3,0.62101783222754,0.7144548008977537
condition,night,1006,12,stage4,0.6221077115113882,0.6366789358155154
condition,night,1006,13,stage1,0.5534274074476708,0.6065566782389673
condition,night,1006,13,stage2,0.5578898288916878,0.6974702332294722
condition,night,1006,13,stage3,0.6317450858608155,0.7331051024243561
condition,night,1006,13,stage4,0.6382701592464334,0.6642404376690241
condition,night,1006,14,stage1,0.5327416138786445,0.5855779027192304
condition,night,1006,14,stage2,0.5444053969907002,0.6873201339785194
condition,night,1006,14,stage3,0.6349836782835587,0.7360632558821684
condition,night,1006,14,stage4,0.6420577281038046,0.6578264393164197
condition,night,1006,15,stage1,0.5070554515713489,0.555825707008303
condition,night,1006,15,stage2,0.5137695370919662,0.6609999996056377
condition,night,1006,15,stage3,0.628484139918807,0.7303630543158021
condition,night,1006,15,stage4,0.6413124091108561,0.653964345782225
condition,night,1006,16,stage1,0.4853991191560184,0.5368847041788917
condition,night,1006,16,stage2,0.49474549163169934,0.646818614740732
condition,night,1006,16,stage3,0.6099725198556131,0.7116132274892174
condition,night,1006,16,stage4,0.6192791088082444,0.624328450405337
condition,night,1006,17,stage1,0.4753109654837527,0.5280714477625329
condition,night,1006,17,stage2,0.4822920435821086,0.6348189060718828
condition,night,1006,17,stage3,0.6108658319676136,0.7055588585600464
condition,night,1006,17,stage4,0.6202635488974645,0.6173444311495566
condition,night,1006,18,stage1,0.47802029301229104,0.510988434995145
condition,night,1006,18,stage2,0.4751877161131701,0.6088951565695567
condition,night,1006,18,stage3,0.6248846987251259,0.7071152965780755
condition,night,1006,18,stage4,0.6391149061337617,0.6340134029182241
condition,night,1006,19,stage1,0.46865920503262737,0.4976217801243837
condition,night,1006,19,stage2,0.468892892448613,0.603388612567786
condition,night,1006,19,stage3,0.622466750813289,0.6848341779372327
condition,night,1006,19,stage4,0.6310776803886914,0.5931358534998259
condition,night,1006,20,stage1,0.4439507621834814,0.4800627764247758
condition,night,1006,20,stage2,0.45483320050874715,0.5988336947874331
condition,night,1006,20,stage3,0.591358647254068,0.6370551470319035
condition,night,1006,20,stage4,0.5942177438653014,0.5208811176788973
condition,night,1006,21,stage1,0.4550821178298347,0.48222939711560314
condition,night,1006,21,stage2,0.44804995464046243,0.5894127298539011
condition,night,1006,21,stage3,0.6016618999287812,0.6507625831642871
