condition,num_images,class_id,class_name,class_group,iou_base,iou_adapt,delta_abs,gt_pixels,pred_pixels_base,pred_pixels_adapt
snow,100,5,pole,small_object,52.7636604309082,52.997154235839844,0.23349380493164062,1816825,1448903,1466858
snow,100,6,traffic light,small_object,73.44633483886719,73.3734130859375,-0.0729217529296875,343387,302319,302051
snow,100,7,traffic sign,small_object,68.49788665771484,68.51526641845703,0.0173797607421875,582757,591557,593702
snow,100,8,vegetation,large_structure,85.38319396972656,85.37495422363281,-0.00823974609375,47303304,45982120,45862008
snow,100,9,terrain,large_structure,16.014339447021484,15.917854309082031,-0.09648513793945312,2147831,603043,606361
snow,100,10,sky,large_structure,96.70244598388672,96.71741485595703,0.0149688720703125,58504924,58139108,58129224
snow,100,11,person,small_object,65.44059753417969,65.6056137084961,0.16501617431640625,425445,358803,358426
snow,100,12,rider,small_object,1.590688705444336,1.6043827533721924,0.013694047927856445,1867,19081,18905
snow,100,13,car,small_object,81.2490005493164,81.31765747070312,0.06865692138671875,4192632,4358094,4361110
snow,100,14,truck,small_object,61.59882354736328,62.8858757019043,1.2870521545410156,1067860,721220,738186
snow,100,15,bus,small_object,5.85516881942749,6.175893306732178,0.3207244873046875,1101949,77014,81582
snow,100,16,train,small_object,68.64279174804688,68.68643951416016,0.04364776611328125,1831738,2415944,2416414
snow,100,17,motorcycle,small_object,59.59188461303711,59.88718795776367,0.2953033447265625,93634,65444,65951
snow,100,18,bicycle,small_object,46.3592414855957,46.21315002441406,-0.14609146118164062,77059,120324,120184
